id,organismo,linea_servicio,dia,fecha,afluencia_tarjeta,afluencia_boleto,afluencia_total_preliminar
391,Ecobici,N/A,Viernes,2021-03-26,,,"13,360"
392,Ecobici,N/A,Sábado,2021-03-27,,,"9,229"
393,Ecobici,N/A,Domingo,2021-03-28,,,"8,359"
394,Ecobici,N/A,Lunes,2021-03-29,,,"11,650"
395,Ecobici,N/A,Martes,2021-03-30,,,"12,275"
396,Ecobici,N/A,Miércoles,2021-03-31,,,"12,286"
397,Ecobici,N/A,Jueves,2021-04-01,,,"9,039"
398,Ecobici,N/A,Viernes,2021-04-02,,,"7,734"
399,Ecobici,N/A,Sábado,2021-04-03,,,"7,757"
400,Ecobici,N/A,Domingo,2021-04-04,,,"7,659"
401,Ecobici,N/A,Lunes,2021-04-05,,,"11,657"
402,Ecobici,N/A,Martes,2021-04-06,,,"12,274"
403,Ecobici,N/A,Miércoles,2021-04-07,,,"13,316"
404,Ecobici,N/A,Jueves,2021-04-08,,,"12,844"
405,Ecobici,N/A,Viernes,2021-04-09,,,"12,274"
406,Ecobici,N/A,Sábado,2021-04-10,,,"9,551"
407,Ecobici,N/A,Domingo,2021-04-11,,,"8,852"
408,Ecobici,N/A,Lunes,2021-04-12,,,"12,226"
409,Ecobici,N/A,Martes,2021-04-13,,,"12,495"
410,Ecobici,N/A,Miércoles,2021-04-14,,,"13,566"
411,Ecobici,N/A,Jueves,2021-04-15,,,"13,605"
412,Ecobici,N/A,Viernes,2021-04-16,,,"13,626"
413,Ecobici,N/A,Sábado,2021-04-17,,,"9,843"
414,Ecobici,N/A,Domingo,2021-04-18,,,"9,021"
415,Ecobici,N/A,Lunes,2021-04-19,,,"13,014"
416,Ecobici,N/A,Martes,2021-04-20,,,"14,174"
417,Ecobici,N/A,Miércoles,2021-04-21,,,"13,724"
418,Ecobici,N/A,Jueves,2021-04-22,,,"13,892"
419,Ecobici,N/A,Viernes,2021-04-23,,,"13,923"
420,Ecobici,N/A,Sábado,2021-04-24,,,"8,963"
421,Ecobici,N/A,Domingo,2021-04-25,,,"8,678"
422,Ecobici,N/A,Lunes,2021-04-26,,,"13,235"
423,Ecobici,N/A,Martes,2021-04-27,,,"13,131"
424,Ecobici,N/A,Miércoles,2021-04-28,,,"12,756"
425,Ecobici,N/A,Jueves,2021-04-29,,,"13,617"
426,Ecobici,N/A,Viernes,2021-04-30,,,"13,695"
